Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Unités légales (en nombre) 2021;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Part construction dans les créations d'ent. 2023
01314;Priay;129;1803;111.9;20
01317;Ramasse;15;332;33.6;0
01318;Rancé;60;760;77.8;60
01319;Relevant;31;467;37.7;0
01320;Replonges;279;3929;234.9;13.8
01321;Revonnas;44;905;115.6;15.4
01322;Reyrieux;429;5228;324.7;13.6
01323;Reyssouze;66;1003;105.9;6.7
01325;Rignieux-le-Franc;61;1131;73.1;25
01328;Romans;33;628;27.6;12.5
01329;Rossillon;11;164;19.8;0
01330;Ruffieu;22;174;12.6;0
01331;Saint-Alban;14;195;23.8;0
01332;Saint-André-de-Bâgé;41;819;299.6;0
01333;Saint-André-de-Corcy;333;3369;162.5;16.7
01334;Saint-André-d'Huiriat;37;671;75;20
01335;Saint-André-le-Bouchoux;22;427;44.8;20
01336;Saint-André-sur-Vieux-Jonc;59;1216;50;7.7
01337;Saint-Bénigne;68;1351;81.4;10
01338;Groslée-Saint-Benoit;83;1232;42.8;0
01339;Saint-Bernard;127;1544;475.2;18.5
01342;Sainte-Croix;37;548;51.5;0
01343;Saint-Cyr-sur-Menthon;120;1867;108.9;15.8
01344;Saint-Denis-lès-Bourg;419;6078;482;7.6
01345;Saint-Denis-en-Bugey;130;2258;858.2;0
01346;Saint-Didier-d'Aussiat;40;845;55.8;0
01347;Saint-Didier-de-Formans;160;2176;327.9;6.9
01348;Saint-Didier-sur-Chalaronne;244;2969;122.2;15.8
01349;Saint-Éloi;35;524;36.7;8.3
01350;Saint-Étienne-du-Bois;142;2569;90;5
01351;Saint-Étienne-sur-Chalaronne;107;1625;76.8;0
01352;Saint-Étienne-sur-Reyssouze;29;576;42;40
01353;Sainte-Euphémie;122;1741;375.3;8.7
01354;Saint-Genis-Pouilly;669;14584;1490.1;10.8
01355;Saint-Genis-sur-Menthon;23;488;42.1;0
01356;Saint-Georges-sur-Renon;9;214;35.2;0
01357;Saint-Germain-de-Joux;19;505;44.8;16.7
01358;Saint-Germain-les-Paroisses;14;423;26.1;0
01359;Saint-Germain-sur-Renon;12;262;16.3;33.3
01360;Saint-Jean-de-Gonville;88;2042;160.8;6.2
01361;Saint-Jean-de-Niost;121;1862;128.7;4.3
01362;Saint-Jean-de-Thurigneux;78;850;51.8;0
01363;Saint-Jean-le-Vieux;138;1799;116.5;6.9
01364;Saint-Jean-sur-Reyssouze;34;764;27.9;0
01365;Saint-Jean-sur-Veyle;61;1154;103.4;20
01366;Sainte-Julie;50;1092;97.8;23.1
01367;Saint-Julien-sur-Reyssouze;43;687;94;16.7
01368;Saint-Julien-sur-Veyle;58;853;86.2;0
01369;Saint-Just;57;953;282.2;5.9
01370;Saint-Laurent-sur-Saône;120;1735;3130.2;7.4
01371;Saint-Marcel;60;1300;108.3;13.3
01372;Saint-Martin-de-Bavel;33;431;51.3;0
01373;Saint-Martin-du-Frêne;95;1027;54;10
01374;Saint-Martin-du-Mont;132;1953;67.6;14.8
01375;Saint-Martin-le-Châtel;35;784;61.2;25
01376;Saint-Maurice-de-Beynost;285;4243;594.4;5.3
01378;Saint-Maurice-de-Gourdans;191;2826;108.2;10.3
01379;Saint-Maurice-de-Rémens;39;758;73;38.5
01380;Saint-Nizier-le-Bouchoux;42;589;21.1;0
01381;Saint-Nizier-le-Désert;61;922;36.9;6.2
01382;Sainte-Olive;27;357;44.8;50
01383;Saint-Paul-de-Varax;75;1637;63.2;5.6
01384;Saint-Rambert-en-Bugey;153;2179;76.1;13.2
01385;Saint-Rémy;55;922;127.8;12.5
01386;Saint-Sorlin-en-Bugey;68;1140;124;9.1
01387;Saint-Sulpice;16;259;49.4;50
